CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
619;France;Female;42;2;0;1;1;1;10134888;1
608;Spain;Female;41;1;8380786;1;0;1;11254258;0
502;France;Female;42;8;1596608;3;1;0;11393157;1
699;France;Female;39;1;0;2;0;0;9382663;0
850;Spain;Female;43;2;12551082;1;1;1;790841;0
645;Spain;Male;44;8;11375578;2;1;0;14975671;1
822;France;Male;50;7;0;2;1;1;100628;0
376;Germany;Female;29;4;11504674;4;1;0;11934688;1
501;France;Male;44;4;14205107;2;0;1;749405;0
684;France;Male;27;2;13460388;1;1;1;7172573;0
528;France;Male;31;6;10201672;2;0;0;8018112;0
497;Spain;Male;24;3;0;2;1;0;7639001;0
476;France;Female;34;10;0;2;1;0;2626098;0
549;France;Female;25;5;0;2;0;0;19085779;0
635;Spain;Female;35;7;0;2;1;1;6595165;0
616;Germany;Male;45;3;14312941;2;0;1;6432726;0
653;Germany;Male;58;1;13260288;1;1;0;509767;1
549;Spain;Female;24;9;0;2;1;1;1440641;0
587;Spain;Male;45;6;0;1;0;0;15868481;0
726;France;Female;24;6;0;2;1;1;5472403;0
732;France;Male;41;8;0;2;1;1;17088617;0
636;Spain;Female;32;8;0;2;1;0;13855546;0
510;Spain;Female;38;4;0;1;1;0;11891353;1
669;France;Male;46;3;0;2;0;1;848775;0
846;France;Female;38;5;0;1;1;1;18761616;0
577;France;Male;25;3;0;2;0;1;12450829;0
756;Germany;Male;36;2;13681564;1;1;1;17004195;0
571;France;Male;44;9;0;2;0;0;3843335;0
574;Germany;Female;43;3;14134943;1;1;1;10018743;0
411;France;Male;29;0;5969717;2;1;1;5348321;0
591;Spain;Female;39;3;0;3;1;0;14046938;1
533;France;Male;36;7;853117;1;0;1;15673191;0
553;Germany;Male;41;9;11011254;2;0;0;8189881;0
520;Spain;Female;42;6;0;2;1;1;3441055;0
722;Spain;Female;29;9;0;2;1;1;14203307;0
475;France;Female;45;0;13426404;1;1;0;2782299;1
490;Spain;Male;31;3;14526023;1;0;1;11406677;0
804;Spain;Male;33;7;765486;1;0;1;9845345;0
850;France;Male;36;7;0;1;1;1;408129;0
582;Germany;Male;41;6;7034948;2;0;1;17807404;0
472;Spain;Male;40;4;0;1;1;0;7015422;0
465;France;Female;51;8;12252232;1;0;0;18129765;1
556;France;Female;61;2;11741935;1;1;1;9415383;0
834;France;Female;49;2;13139456;1;0;0;19436576;1
660;Spain;Female;61;5;15593111;1;1;1;15833839;0
776;Germany;Female;32;4;10942113;2;1;1;12651746;0
829;Germany;Female;27;9;11204567;1;1;1;11970821;1
637;Germany;Female;39;9;1378438;1;1;1;1176228;1
550;Germany;Male;38;2;10339138;1;0;1;9087813;0
776;Germany;Female;37;2;10376922;2;1;0;19409912;0
698;Germany;Male;44;10;11636337;2;1;0;19805916;0
585;Germany;Male;36;5;14605097;2;0;0;8642457;0
788;France;Female;33;5;0;2;0;0;11697819;0
655;Germany;Male;41;8;12556197;1;0;0;16404094;1
601;Germany;Male;42;1;9849572;1;1;0;4001476;1
619;France;Male;43;1;12521192;1;1;1;11341049;0
656;France;Male;45;5;1278644;1;1;0;8710757;0
725;Germany;Male;19;0;758882;1;0;0;4561375;0
511;Spain;Female;66;4;0;1;1;0;164311;1
614;France;Male;51;4;4068592;1;1;1;4677528;0
742;Germany;Male;35;5;136857;1;0;0;8450957;0
687;Germany;Female;27;9;15232888;2;0;0;12649482;0
555;Spain;Male;33;1;5608469;2;0;0;17879813;0
684;Spain;Male;56;8;7870716;1;1;1;9939836;0
603;Germany;Male;26;4;10916637;1;1;1;9284067;0
751;Germany;Female;36;6;16983146;2;1;1;2775836;0
581;Germany;Female;34;1;10163304;1;1;0;11043151;0
735;Germany;Male;43;10;12318001;2;1;1;19667328;0
661;Germany;Female;35;5;15072553;2;0;1;11365685;0
675;France;Female;21;8;9837326;1;1;0;18203;0
738;Germany;Male;58;2;13374544;4;1;0;2837386;1
813;France;Male;29;6;0;1;1;0;3395387;0
657;Spain;Female;37;0;16360718;1;0;1;4420355;0
604;Germany;Female;25;5;15778084;2;1;1;5842681;0
519;France;Male;36;9;0;2;0;1;1455624;0
735;France;Female;21;1;17871819;2;1;0;22388;0
664;France;Male;55;8;0;2;1;1;13916164;0
678;France;Female;32;9;0;1;1;1;14821064;0
757;Spain;Male;33;5;7725322;1;0;1;19423963;0
416;Germany;Female;41;10;12218966;2;1;0;9830161;0
665;France;Female;34;1;9664554;2;0;0;17141366;0
777;France;Female;32;2;0;1;1;0;13645819;1
543;France;Female;36;3;0;2;0;0;2601959;0
506;France;Female;34;4;9030762;1;1;1;15923529;0
493;France;Female;46;4;0;2;1;0;190766;0
652;Spain;Female;75;10;0;2;1;1;11467575;0
750;Spain;Male;22;3;12168182;1;1;0;12864335;1
729;France;Male;30;9;0;2;1;0;15186935;0
646;France;Female;46;4;0;3;1;0;9325142;1
635;Germany;Female;28;3;8162367;2;1;1;15679136;0
647;Spain;Female;44;5;0;3;1;1;17420522;1
808;France;Male;45;7;11862655;2;1;0;14713246;0
524;France;Female;36;10;0;2;1;0;10961457;0
769;France;Male;29;8;0;2;1;1;17229061;0
730;Spain;Male;42;4;0;2;0;1;8598247;0
515;Spain;Male;35;10;17627395;1;0;1;12127778;0
773;Spain;Male;41;9;10282744;1;0;1;6459525;0
814;Germany;Male;29;8;970864;2;1;1;19727613;0
710;Spain;Male;22;8;0;2;0;0;9964504;0
413;France;Male;34;9;0;2;0;0;653418;0
665;France;Female;40;6;0;1;1;1;16184803;0
623;France;Female;44;6;0;2;0;0;16716243;0
738;France;Male;31;9;8267415;1;1;0;4197072;0
528;Spain;Male;36;7;0;2;1;0;6053656;0
670;Spain;Female;65;1;0;1;1;1;17765568;1
622;Spain;Female;46;4;10707327;2;1;1;3098459;1
582;Germany;Male;32;1;8893862;1;1;1;1005453;0
785;Germany;Female;36;2;9980685;1;0;1;3697652;0
605;Spain;Male;33;5;1500928;1;0;0;7186279;0
479;Germany;Male;35;9;9283389;1;1;0;9944986;1
685;Germany;Male;30;3;9053681;1;0;1;6308288;0
538;Germany;Male;39;7;1080551;2;1;0;2723126;0
562;France;Male;42;2;10023835;1;0;0;8679741;0
675;Spain;Male;36;9;10619055;1;0;1;2299432;0
721;Germany;Male;28;9;15447554;2;0;1;10130094;1
628;Germany;Female;30;9;13235129;2;1;1;7416913;0
668;Germany;Female;37;6;1678644;1;1;0;11563829;0
506;France;Female;41;1;0;2;1;0;317663;0
524;Germany;Female;31;8;10781863;1;1;0;19972539;1
699;Germany;Male;34;4;18517381;2;1;0;12083448;0
828;France;Male;34;8;12943334;2;0;0;3813177;0
674;Spain;Male;39;6;12019342;1;0;0;10013095;0
656;France;Female;39;6;0;2;1;0;14106988;0
684;Germany;Female;48;10;12638442;1;1;1;19812936;0
625;France;Female;28;3;0;1;0;0;18364641;0
432;France;Male;42;9;15260345;1;1;0;11026524;1
549;France;Female;52;1;0;1;0;1;863605;1
625;Germany;Male;56;0;14850724;1;1;0;4682408;1
828;France;Female;41;7;0;2;1;0;17137877;0
770;France;Male;24;9;10182707;1;1;0;16725635;0
758;France;Female;34;3;0;2;1;1;12422616;0
795;Germany;Female;33;9;13086243;1;1;1;11493521;0
687;France;Male;38;9;12257087;1;1;1;3560888;0
686;France;Male;25;1;0;2;0;1;1645937;0
789;Germany;Male;39;7;12482846;2;1;1;12441108;0
589;Germany;Female;50;5;14489505;2;1;1;3494123;0
461;Germany;Female;34;5;6366393;1;0;1;16778428;0
637;France;Male;40;2;1334631;1;0;1;9316534;0
584;Spain;Female;48;2;2131462;1;1;0;7516125;1
579;Spain;Female;35;1;12949036;2;0;1;859083;1
756;Germany;Male;44;10;13745209;1;1;0;1895439;0
663;France;Male;34;7;0;2;1;1;18042724;0
682;France;Female;43;5;12585193;1;1;1;19331833;0
793;Spain;Male;52;2;0;1;1;0;15912382;1
691;France;Female;31;5;4091555;1;1;0;12621384;1
485;Spain;Female;21;5;11315722;1;1;1;541415;0
635;Spain;Female;29;8;13829694;2;1;0;14107551;0
650;France;Male;37;5;10696718;1;0;0;2449503;0
735;France;Male;44;9;12068163;1;1;0;7483634;0
416;France;Male;32;0;0;2;0;1;87887;0
754;Spain;Female;32;7;0;2;1;0;8952075;0
535;France;Female;48;9;0;1;1;0;14989279;1
716;Spain;Male;42;8;0;2;1;0;18080042;0
539;France;Male;37;2;12760959;1;1;0;9864622;0
614;France;Female;43;6;0;2;1;1;10904153;0
706;Spain;Male;57;7;0;1;1;0;1794116;1
